restaurant,hours of operation
20/20 Cafe,Mon-Fri: 7:30 am - 4:00 pm,Sat-Sun: Closed
Au Bon Pain,Mon-Thu: 8:00 am - 7:00 pm,Fri: 8:00 am - 5:00 pm,Sat-Sun: Closed
BC's Cavern,Mon-Thu: 7:30 am - 8:00 pm,Fri: 7:30 am - 5:00 pm,Sat-Sun: Closed
Bridge Cafe,Mon-Thu: 7:30 am - 6:30 pm,Fri: 7:30 am - 4:-00 pm,Sat-Sun: Closed
C3 Express ,Mon-Thu: 7:30 am - 9:00 pm,Fri: 7:30 am - 5:00 pm,Sat-Sun: Closed
The Green Room ,Mon-Thu: 7:30 am - 7:00 pm,Fri: 7:30 am - 4:00 pm,Sat-Sun: Closed
Espress Yourself ,Mon-Thu: 7:30 am - 5:00 pm,Fri: 7:30 am - 4:00 pm,Sat-Sun: Closed
Gottschalk P.O.D. Express ,Mon-Fri: 8:00 am - 4:00 pm,Sat-Sun: Closed
Java City Kiosk ,Mon-Thu: 7:30 am - 9:00 pm,Fri: 7:30 am - 5:00 pm,Sat-Sun: Closed
Med Ed Cafe ,Mon-Fri: 7:30 am - 5:00 pm,Sat-Sun: Closed
Taza ,Mon-Thu: 7:00 am - Midnight,Fri: 7:00 am - 8:00 pm,Sat-Sun: 9:30 am - 8:00 pm
The Anteatery ,Mon-Fri,Breakfast: 7:15 am - 10:00 am,Continental Breakfast: 10:00 am - 11:00 am,Lunch: 11:00 am - 2:00 pm,Light Lunch: 2:00 pm - 4:30 pm,Dinner: 4:30 pm - 8:00 pm,Mon-Thu Late Night: 8:00 pm - Midnight,Sat-Sun,Continental Breakfast: 9:30 am - 11:00 am,Brunch: 11:00 am - 3:00 pm,Dinner: 5:00 pm - 8:00 pm
Phoenix Food Court ,Mon-Thu: 7:30 am - 8:00 pm,Fri: 7:30 am - 5:00 pm.Sat-Sun: Closed
Pippin Commons ,Mon-Fri,Breakfast: 7:15 am - 10:00 am,Continental Breakfast: 10:00 am - 11:00 am,Lunch: 11:00 am - 2:00 pm,Light Lunch: 2:00 pm - 4:30 pm,Dinner: 4:30 pm - 8:00 pm,Mon-Thu Late Night: 8:00 pm - Midnight,Sat-Sun,Continental Breakfast: 9:30 am - 11:00 am,Brunch: 11:00 am - 3:00 pm,Dinner: 5:00 pm - 8:00 pm
Starbucks @ Biological Sciences ,Mon-Fri: 7: 00 am - 9:00 pm,Sat-Sun: Closed
Starbucks @ Paul Merage School of Business ,Mon-Thu: 7:00 am - 9:00 pm,Fri: 7:00 am - 6:00 pm,Sat-Sun: Closed
Student Center
Anthill Pub & Grille at Student Center,Mon-Wed: 11:00 am - Midnight,Thurs-Fri: 11:00 am - 1:00 am,Sat: 7:00 pm - 1:00 am,Sun: Closed
Bene's Pasta at East Food Court,Mon-Thu: 10:30 am - 8:00 pm,Fri: 10:30 am - 5:00 pm,Sat-Sun: Closed
Organic Greens to Go at East Food Court,Mon-Thu: 10:30 am - 8:00 pm,Fri: 10:30 am - 5:00 pm,Sat-Sun: Closed
Topio's at East Food Court,Mon-Thu: 10:30 am - 8:00 pm,Fri: 10:30 am - 5:00 pm,Sat-Sun: Closed
Jamba Juice,Mon-Thu: 7:30 am - 8:00 pm,Fri: 7:30 am - 5:00 pm.Sat-Sun: Closed
Panda Express at West Food Court,Mon-Thu: 10:30 am - 8:00 pm,Fri: 10:30 am - 6:00 pm,Sat-Sun: Closed
Subway at West Food Court,Mon-Thu: 7:30 am -10:00 pm,Fri: 7:30 am - 8:00 pm,Sat-Sun: 11:00 am - 6:00 pm
Wahoo's Tacos at West Food Court,Mon-Thu: 10:30 am - 7:00 pm,Fri: 10:30 am - 5:00 pm,Sat-Sun: Closed
Wendy's at West Food Court,Mon-Thu: 7:00 am - 10:00 pm,Fri: 7:00 am - 8:00 pm,Sat-Sun: 10:00 am - 10:00 pm
Zot N Go at Student Center,Mon-Thu: 7:30 am - 9:00 pm,Fri: 7:30 am - 8:00 pm,Sat-Sun: Closed
Starbucks at Student Center,Mon-Thu: 7:00 am - 1:00 am,Fri: 7:00 am - 9:00 pm,Sat-Sun: 8:00 am - 7:00 pm